date,open,high,low,close,volume,change_percent,avg_vol_20d
2010/09/13,111.35,111.35,111.23,111.23,2500,,
2010/09/14,111.12,111.13,110.67,110.74,519,,
2010/09/15,110.51,110.51,110.15,110.15,921,,
2010/09/16,110.11,110.11,109.41,109.41,1000,,
2010/09/17,110.13,110.13,109.73,109.73,0,,
2010/09/20,109.8,110.92,109.8,110.92,20,,
2010/09/21,110.89,110.89,110.37,110.37,170,,
2010/09/22,109.61,109.61,108.2,108.2,25780,,
2010/09/23,108.67,108.67,107.31,108.52,23124,,
2010/09/24,108.02,108.62,108.02,108.62,288,,
2010/09/27,109.09,109.09,108.61,108.61,0,,
2010/09/28,108.67,108.67,107.99,108.18,17015,,
2010/09/29,108.24,108.24,107.74,107.74,0,,
2010/09/30,107.65,107.65,107.31,107.35,2005,,
2010/10/01,107.25,107.25,106.58,106.58,0,,
2010/10/04,106.67,106.67,106.31,106.31,0,,
2010/10/05,106.35,107.21,106.35,107.21,217,,
2010/10/06,107.84,108,107.57,107.57,475,,
2010/10/07,107.22,107.36,107.22,107.36,0,,
2010/10/08,107.27,107.68,107.27,107.68,150,,
2010/10/11,107.75,108.13,107.75,108.13,0,,
2010/10/12,107.61,108.07,107.61,108.07,15,,
2010/10/13,107.75,108.32,107.75,108.32,14,,
2010/10/14,108.61,108.64,108.08,108.08,368,,
2010/10/15,108.14,108.25,108.14,108.25,0,,
2010/10/18,108.66,108.85,108.66,108.85,0,,
2010/10/19,108.91,109.09,108.91,109.09,0,,
2010/10/20,108.77,108.92,108.66,108.66,1600,,
2010/10/21,108.3,108.95,108.3,108.95,0,,
2010/10/22,108.97,109.01,108.95,108.95,4000,,
2010/10/25,109.06,109.34,109.06,109.34,2124,,
2010/10/26,109.14,109.46,109.14,109.46,4272,,
2010/10/27,109.3,109.3,108.77,108.81,505,,
2010/10/28,109.35,109.78,108.82,108.82,485,,
2010/10/29,108.84,108.95,108.84,108.95,0,,
2010/11/01,109.26,109.57,109.26,109.57,5000,,
2010/11/02,109.3,109.37,109.16,109.16,5,,
2010/11/03,109.45,109.5,108.98,108.98,13000,,
2010/11/04,109.46,110.18,109.46,110.18,4000,,
2010/11/05,110.77,111.79,110.77,111.79,1335,,
2010/11/08,112.21,112.28,112.21,112.28,10,,
2010/11/09,112.72,113.06,112.72,113.06,0,,
2010/11/10,112.93,112.93,112.77,112.77,6941,,
2010/11/11,112.95,113.05,112.95,113.05,11,,
2010/11/12,112.35,112.45,112.21,112.21,15,,
2010/11/15,112.13,113.3,112.13,113.26,9278,,
2010/11/16,112.29,112.29,111.1,111.1,0,,
2010/11/17,111.26,111.75,111.26,111.67,6732,,
2010/11/18,112.22,112.98,112.22,112.98,0,,
2010/11/19,112.5,112.5,112.31,112.31,0,,
2010/11/22,112.68,112.68,112.08,112.08,268,,
2010/11/23,111.64,111.77,111.6,111.6,12224,,
2010/11/24,112.28,113.43,112.28,113.43,21,,
2010/11/25,113.64,113.82,113.64,113.82,900,,
2010/11/26,113.77,113.9,113.77,113.77,114,,
2010/11/29,113.99,113.99,113.28,113.28,260,,
2010/11/30,113.95,114.18,113.8,113.8,15,,
2010/12/01,114.48,115.71,114.48,115.71,8,,
2010/12/02,115.72,116.43,115.72,116.43,23,,
2010/12/03,116.66,116.7,115.43,115.43,25100,,
2010/12/06,116.03,116.45,116.03,116.45,0,,
2010/12/07,116.55,116.87,116.55,116.87,5,,
2010/12/08,116.72,117.16,116.72,117.01,30,,
2010/12/09,117.58,117.58,117.58,117.58,0,,
2010/12/10,117.7,117.9,117.7,117.87,25,,
2010/12/13,118.5,118.58,117.79,117.79,2562,,
2010/12/14,117.33,118.02,117.33,118.02,0,,
2010/12/15,117.8,117.94,117.8,117.94,0,,
2010/12/16,118.18,118.63,118.18,118.63,0,,
2010/12/17,118.06,118.79,118.06,118.79,0,,
2010/12/20,118.69,119.33,118.69,119.33,90,,
2010/12/21,119.79,120.44,119.79,120.31,123,,
2010/12/22,120.41,120.9,120.41,120.9,1500,,
2010/12/23,120.92,120.92,120.8,120.8,0,,
2010/12/24,,,,120.8,,,
2010/12/27,120.36,120.36,119.95,120.01,547,,
2010/12/28,120.23,120.79,120.2,120.79,74,,
2010/12/29,121.02,121.15,121,121,36,,
2010/12/30,120.6,120.6,119.53,119.53,4,,
2010/12/31,,,,119.53,,,
2011/01/03,120.43,120.71,120.34,120.43,11760,,
2011/01/04,120.19,120.29,120.13,120.29,677,,
2011/01/05,120.57,121.66,120.36,121.66,1016,,
2011/01/06,122.18,122.66,122.18,122.62,96,,
2011/01/07,122.8,122.8,122.69,122.69,0,,
2011/01/10,122.94,122.94,122.18,122.18,15490,,
2011/01/11,122.92,123.25,122.92,123.25,7376,,
2011/01/12,123.29,124.05,123.29,123.84,1906,,
2011/01/13,123.45,123.54,121.76,121.76,3200,,
2011/01/14,121.3,121.43,121,121.43,17010,,
2011/01/17,122.16,122.31,122.16,122.31,0,,
2011/01/18,122.27,122.27,122.12,122.12,0,,
2011/01/19,122.24,122.24,120.83,120.83,0,,
2011/01/20,120.58,120.58,119.57,119.57,2497,,
2011/01/21,119.15,120.18,119.15,119.61,150,,
2011/01/24,119.69,119.69,119.08,119.33,19607,,
2011/01/25,119.76,119.76,119.08,119.08,5470,,
2011/01/26,119.55,119.73,119.55,119.73,0,,
2011/01/27,119.71,119.78,119.54,119.58,7510,,
2011/01/28,119.51,119.85,119.13,119.13,1215,,
2011/01/31,118.76,118.76,118.35,118.7,2276,,
